萨尔瓦多,SLV,1
圣马力诺,SMR,1
索马里,SOM,1
塞尔维亚,SRB,1
撒哈拉以南非洲地区（不包括高收入）,SSA,0
南苏丹,SSD,1
撒哈拉以南非洲地区,SSF,0
小国,SST,0
圣多美和普林西比,STP,1
苏里南,SUR,1
斯洛伐克共和国,SVK,1
斯洛文尼亚,SVN,1
瑞典,SWE,1
斯威士兰,SWZ,1
圣马丁(荷属),SXM,1
塞舌尔,SYC,1
阿拉伯叙利亚共和国,SYR,1
特克斯科斯群岛,TCA,0
乍得,TCD,1
东亚与太平洋地区 (IBRD与IDA),TEA,0
欧洲与中亚地区 (IBRD与IDA),TEC,0
多哥,TGO,1
泰国,THA,1
塔吉克斯坦,TJK,1
土库曼斯坦,TKM,1
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,0
东帝汶,TLS,1
中东与北非地区 (IBRD与IDA),TMN,0
汤加,TON,1
南亚 (IBRD与IDA),TSA,0
撒哈拉以南非洲地区 (IBRD与IDA),TSS,0
特立尼达和多巴哥,TTO,1
突尼斯,TUN,1
土耳其,TUR,1
图瓦卢,TUV,1
坦桑尼亚,TZA,1
乌干达,UGA,1
乌克兰,UKR,1
中高等收入国家,UMC,0
乌拉圭,URY,1
美国,USA,1
乌兹别克斯坦,UZB,1
圣文森特和格林纳丁斯,VCT,1
委内瑞拉玻利瓦尔共和国,VEN,1
英屬維爾京群島,VGB,0
美属维京群岛,VIR,0
越南,VNM,1
瓦努阿图,VUT,1
世界,WLD,0
萨摩亚,WSM,1
科索沃,XKX,1
也门共和国,YEM,1
南非,ZAF,1
赞比亚,ZMB,1
津巴布韦,ZWE,1
